gameweek,weekday,match_date,start_time,home_team,home_xg,home_score,away_team,away_xg,away_score,attendance,venue,referee
4,Sat,2023-08-26,15:00:00,Birmingham City,2.2,2,Plymouth Argyle,1.6,1,20685,St Andrew's Trillion Trophy Stadium,John Busby
4,Sat,2023-08-26,15:00:00,Millwall,1.0,1,Stoke City,1.6,0,15254,The Den,David Webb
4,Sat,2023-08-26,15:00:00,West Brom,0.6,4,Middlesbrough,1.8,2,23691,The Hawthorns,Jeremy Simpson
4,Sat,2023-08-26,15:00:00,Southampton,0.4,2,QPR,0.6,1,30401,St. Mary's Stadium,James Bell
4,Sun,2023-08-27,12:00:00,Watford,1.4,0,Blackburn,0.4,1,17810,Vicarage Road Stadium,Gavin Ward
5,Sat,2023-09-02,12:30:00,Birmingham City,1.7,1,Millwall,0.5,1,18710,St Andrew's Trillion Trophy Stadium,Joshua Smith
5,Sat,2023-09-02,12:30:00,Swansea City,1.4,1,Bristol City,2.3,2,16676,Swansea.com Stadium,Oliver Langford
5,Sat,2023-09-02,12:30:00,Sunderland,1.9,5,Southampton,0.8,0,41459,Stadium of Light,David Coote
5,Sat,2023-09-02,15:00:00,Coventry City,2.2,3,Watford,1.4,3,24539,Coventry Building Society Arena,David Webb
5,Sat,2023-09-02,15:00:00,Rotherham Utd,0.6,2,Norwich City,1.5,1,11016,AESSEAL New York Stadium,Samuel Barrott
5,Sat,2023-09-02,15:00:00,Ipswich Town,2.7,3,Cardiff City,2.1,2,28011,Portman Road Stadium,Gavin Ward
5,Sat,2023-09-02,15:00:00,Leicester City,1.2,0,Hull City,0.3,1,31318,King Power Stadium,John Busby
5,Sat,2023-09-02,15:00:00,Plymouth Argyle,1.3,3,Blackburn,1.8,0,16067,Home Park,Stephen Martin
5,Sat,2023-09-02,15:00:00,West Brom,1.1,1,Huddersfield,0.9,2,23094,The Hawthorns,James Linington
5,Sat,2023-09-02,15:00:00,Stoke City,1.4,0,Preston,1.9,2,22957,Bet365 Stadium,Matt Donohue
5,Sat,2023-09-02,15:00:00,Middlesbrough,1.5,0,QPR,0.7,2,25671,Riverside Stadium,Thomas Bramall
5,Sat,2023-09-02,15:00:00,Leeds United,1.2,0,Sheffield Weds,0.9,0,36484,Elland Road,Dean Whitestone
6,Fri,2023-09-15,19:45:00,Hull City,1.5,1,Coventry City,0.6,1,21888,MKM Stadium,Tony Harrington
